Crime Type,Loss Amount,State/Territory,Year
Real Estate/Rental,"$9,192,862",California,2017
Spoofing,$0,California,2017
Tech Support,"$3,121,081",California,2017
Terrorism,"$7,358",California,2017
Social Media,"$8,484,036",California,2017
Virtual Currency,"$6,686,763",California,2017
Advanced Fee,"$1,020,100",Colorado,2017
BEC/EAC,"$20,863,189",Colorado,2017
Charity,$85,Colorado,2017
Civil Matter,"$38,695",Colorado,2017
Confidence Fraud/Romance,"$3,903,026",Colorado,2017
Corporate Data Breach,"$2,511,049",Colorado,2017
Credit Card Fraud,"$730,774",Colorado,2017
Crimes Against Children,$0,Colorado,2017
Criminal Forums,$0,Colorado,2017
Denial of Service/TDos,"$3,687",Colorado,2017
Employment,"$799,239",Colorado,2017
Extortion,"$241,094",Colorado,2017
Gambling,"$7,300",Colorado,2017
Government Impersonation,"$241,556",Colorado,2017
Hacktivist,"$6,827",Colorado,2017
Harassment/Threats of Violence,"$156,330",Colorado,2017
Health Care Related,$650,Colorado,2017
IPR/Copyright and Counterfeit,"$12,883",Colorado,2017
Identity Theft,"$1,724,962",Colorado,2017
Investment,"$6,274,631",Colorado,2017
Lottery/Sweepstakes/Inheritance,"$238,623",Colorado,2017
Malware/Scareware/Virus,"$40,523",Colorado,2017
Misrepresentation,"$205,334",Colorado,2017
No Lead Value,$0,Colorado,2017
Non-payment/Non-Delivery,"$2,735,628",Colorado,2017
Other,"$119,164",Colorado,2017
Overpayment,"$1,228,492",Colorado,2017
Personal Data Breach,"$3,034,999",Colorado,2017
Phishing/Vishing/Smishing/Pharming,"$1,862,304",Colorado,2017
Ransomware,"$104,680",Colorado,2017
Re-shipping,"$8,400",Colorado,2017
Real Estate/Rental,"$1,954,153",Colorado,2017
Spoofing,$0,Colorado,2017
Tech Support,"$477,604",Colorado,2017
Terrorism,$0,Colorado,2017
Social Media,"$761,154",Colorado,2017
Virtual Currency,"$677,031",Colorado,2017
Advanced Fee,"$476,498",Connecticut,2017
BEC/EAC,"$7,040,294",Connecticut,2017
Charity,"$193,575",Connecticut,2017
Civil Matter,"$2,433",Connecticut,2017
Confidence Fraud/Romance,"$1,824,663",Connecticut,2017
Corporate Data Breach,"$1,475,122",Connecticut,2017
Credit Card Fraud,"$647,657",Connecticut,2017
Crimes Against Children,"$1,100",Connecticut,2017
Criminal Forums,$0,Connecticut,2017
Denial of Service/TDos,"$186,002",Connecticut,2017
Employment,"$241,094",Connecticut,2017
Extortion,"$261,062",Connecticut,2017
Gambling,$129,Connecticut,2017
Government Impersonation,"$154,763",Connecticut,2017
Hacktivist,$0,Connecticut,2017
Harassment/Threats of Violence,"$14,013",Connecticut,2017
Health Care Related,$170,Connecticut,2017
IPR/Copyright and Counterfeit,"$102,848",Connecticut,2017
Identity Theft,"$236,716",Connecticut,2017
Investment,"$38,094",Connecticut,2017
Lottery/Sweepstakes/Inheritance,"$526,595",Connecticut,2017
Malware/Scareware/Virus,"$111,371",Connecticut,2017
Misrepresentation,"$125,957",Connecticut,2017
No Lead Value,$0,Connecticut,2017
Non-payment/Non-Delivery,"$933,961",Connecticut,2017
Other,"$177,373",Connecticut,2017
Overpayment,"$357,616",Connecticut,2017
Personal Data Breach,"$548,947",Connecticut,2017
Phishing/Vishing/Smishing/Pharming,"$32,402",Connecticut,2017
Ransomware,"$14,000",Connecticut,2017
Re-shipping,"$14,266",Connecticut,2017
Real Estate/Rental,"$571,691",Connecticut,2017
Spoofing,$0,Connecticut,2017
Tech Support,"$145,066",Connecticut,2017
Terrorism,$744,Connecticut,2017
Social Media,"$479,377",Connecticut,2017
Virtual Currency,"$55,729",Connecticut,2017
Advanced Fee,"$79,403",Delaware,2017
BEC/EAC,"$1,239,898",Delaware,2017
Charity,$75,Delaware,2017
Civil Matter,"$2,600",Delaware,2017
Confidence Fraud/Romance,"$239,867",Delaware,2017
Corporate Data Breach,"$861,808",Delaware,2017
Credit Card Fraud,"$123,560",Delaware,2017
Crimes Against Children,$0,Delaware,2017
Criminal Forums,$0,Delaware,2017
Denial of Service/TDos,$0,Delaware,2017
Employment,"$30,662",Delaware,2017
Extortion,"$15,622",Delaware,2017
Gambling,$0,Delaware,2017
Government Impersonation,"$20,100",Delaware,2017
Hacktivist,$0,Delaware,2017
Harassment/Threats of Violence,"$7,230",Delaware,2017
Health Care Related,$0,Delaware,2017
IPR/Copyright and Counterfeit,"$3,030",Delaware,2017
Identity Theft,"$77,440",Delaware,2017
Investment,"$57,284",Delaware,2017
Lottery/Sweepstakes/Inheritance,"$2,000",Delaware,2017
Malware/Scareware/Virus,$600,Delaware,2017
Misrepresentation,"$29,162",Delaware,2017
No Lead Value,$0,Delaware,2017
Non-payment/Non-Delivery,"$453,743",Delaware,2017
Other,"$6,866",Delaware,2017
Overpayment,"$52,772",Delaware,2017
Personal Data Breach,"$106,468",Delaware,2017
Phishing/Vishing/Smishing/Pharming,"$14,288",Delaware,2017
Ransomware,$120,Delaware,2017
Re-shipping,$0,Delaware,2017
Real Estate/Rental,"$778,705",Delaware,2017
Spoofing,$0,Delaware,2017
Tech Support,"$20,108",Delaware,2017
Terrorism,"$4,000",Delaware,2017
Social Media,"$23,153",Delaware,2017
Virtual Currency,"$60,263",Delaware,2017
Advanced Fee,"$70,400",District of Columbia,2017
BEC/EAC,"$2,016,011",District of Columbia,2017
Charity,$0,District of Columbia,2017
Civil Matter,$500,District of Columbia,2017
Confidence Fraud/Romance,"$23,944",District of Columbia,2017
Corporate Data Breach,"$5,773",District of Columbia,2017
Credit Card Fraud,"$100,118",District of Columbia,2017
Crimes Against Children,$0,District of Columbia,2017
Criminal Forums,$0,District of Columbia,2017
Denial of Service/TDos,$0,District of Columbia,2017
Employment,"$57,797",District of Columbia,2017
Extortion,"$3,855",District of Columbia,2017
Gambling,$0,District of Columbia,2017
Government Impersonation,"$3,921",District of Columbia,2017
Hacktivist,$0,District of Columbia,2017
Harassment/Threats of Violence,"$20,962",District of Columbia,2017
Health Care Related,$0,District of Columbia,2017
IPR/Copyright and Counterfeit,"$1,537",District of Columbia,2017
Identity Theft,"$34,217",District of Columbia,2017
Investment,$0,District of Columbia,2017
Lottery/Sweepstakes/Inheritance,$0,District of Columbia,2017
Malware/Scareware/Virus,$0,District of Columbia,2017
Misrepresentation,"$38,830",District of Columbia,2017
No Lead Value,$0,District of Columbia,2017
Non-payment/Non-Delivery,"$209,503",District of Columbia,2017
Other,"$20,316",District of Columbia,2017
Overpayment,"$84,581",District of Columbia,2017
Personal Data Breach,"$36,088",District of Columbia,2017
Phishing/Vishing/Smishing/Pharming,"$299,468",District of Columbia,2017
Ransomware,"$25,000",District of Columbia,2017
Re-shipping,$0,District of Columbia,2017
Real Estate/Rental,"$158,954",District of Columbia,2017
Spoofing,$0,District of Columbia,2017
Tech Support,"$22,353",District of Columbia,2017
Terrorism,$0,District of Columbia,2017
Social Media,"$13,513",District of Columbia,2017
Virtual Currency,"$7,493",District of Columbia,2017
Advanced Fee,"$2,797,201",Florida,2017
BEC/EAC,"$62,671,503",Florida,2017
Charity,"$57,045",Florida,2017
Civil Matter,"$680,795",Florida,2017
Confidence Fraud/Romance,"$13,175,474",Florida,2017
Corporate Data Breach,"$5,065,906",Florida,2017
Credit Card Fraud,"$5,013,785",Florida,2017
Crimes Against Children,"$15,000",Florida,2017
Criminal Forums,$0,Florida,2017
Denial of Service/TDos,"$16,990",Florida,2017
Employment,"$2,763,827",Florida,2017
Extortion,"$1,007,773",Florida,2017
Gambling,"$88,930",Florida,2017
Government Impersonation,"$816,920",Florida,2017
Hacktivist,$0,Florida,2017
Harassment/Threats of Violence,"$579,371",Florida,2017
Health Care Related,"$22,192",Florida,2017
IPR/Copyright and Counterfeit,"$268,617",Florida,2017
Identity Theft,"$4,839,090",Florida,2017
Investment,"$3,343,279",Florida,2017
Lottery/Sweepstakes/Inheritance,"$553,111",Florida,2017
Malware/Scareware/Virus,"$89,186",Florida,2017
Misrepresentation,"$567,601",Florida,2017
No Lead Value,$0,Florida,2017
Non-payment/Non-Delivery,"$9,573,856",Florida,2017
Other,"$1,082,114",Florida,2017
Overpayment,"$4,498,390",Florida,2017
Personal Data Breach,"$5,190,653",Florida,2017
Phishing/Vishing/Smishing/Pharming,"$1,494,964",Florida,2017
Ransomware,"$92,392",Florida,2017
Re-shipping,"$41,780",Florida,2017
Real Estate/Rental,"$5,684,181",Florida,2017
Spoofing,$0,Florida,2017
Tech Support,"$868,529",Florida,2017
Terrorism,$0,Florida,2017
Social Media,"$3,255,664",Florida,2017
Virtual Currency,"$3,796,741",Florida,2017
Advanced Fee,"$1,152,012",Georgia,2017
BEC/EAC,"$18,810,476",Georgia,2017
Charity,"$6,382",Georgia,2017
Civil Matter,"$28,604",Georgia,2017
Confidence Fraud/Romance,"$9,922,969",Georgia,2017
Corporate Data Breach,"$3,142,607",Georgia,2017
Credit Card Fraud,"$1,548,646",Georgia,2017
Crimes Against Children,$0,Georgia,2017
Criminal Forums,$0,Georgia,2017
Denial of Service/TDos,"$2,812",Georgia,2017
Employment,"$727,155",Georgia,2017
Extortion,"$147,799",Georgia,2017
Gambling,$348,Georgia,2017
Government Impersonation,"$549,849",Georgia,2017
Hacktivist,$0,Georgia,2017
Harassment/Threats of Violence,"$84,941",Georgia,2017
Health Care Related,"$3,362",Georgia,2017
IPR/Copyright and Counterfeit,"$70,577",Georgia,2017
Identity Theft,"$941,823",Georgia,2017
Investment,"$2,039,803",Georgia,2017
Lottery/Sweepstakes/Inheritance,"$72,322",Georgia,2017
Malware/Scareware/Virus,"$24,116",Georgia,2017
Misrepresentation,"$196,308",Georgia,2017
No Lead Value,$0,Georgia,2017
Non-payment/Non-Delivery,"$3,257,752",Georgia,2017
Other,"$138,894",Georgia,2017
Overpayment,"$1,008,863",Georgia,2017
Personal Data Breach,"$1,485,915",Georgia,2017
Phishing/Vishing/Smishing/Pharming,"$928,701",Georgia,2017
Ransomware,"$196,104",Georgia,2017
Re-shipping,"$7,523",Georgia,2017
Real Estate/Rental,"$671,186",Georgia,2017
Spoofing,$0,Georgia,2017
Tech Support,"$100,012",Georgia,2017
Terrorism,$0,Georgia,2017
Social Media,"$944,032",Georgia,2017
Virtual Currency,"$522,967",Georgia,2017
Advanced Fee,"$259,350",Guam,2017
BEC/EAC,"$343,718",Guam,2017
Charity,$0,Guam,2017
Civil Matter,$0,Guam,2017
Confidence Fraud/Romance,"$257,000",Guam,2017
Corporate Data Breach,"$104,433",Guam,2017
Credit Card Fraud,$75,Guam,2017
Crimes Against Children,$0,Guam,2017
Criminal Forums,$0,Guam,2017
Denial of Service/TDos,$0,Guam,2017
Employment,"$62,699",Guam,2017
Extortion,$0,Guam,2017
Gambling,$0,Guam,2017
Government Impersonation,$0,Guam,2017
Hacktivist,$0,Guam,2017
Harassment/Threats of Violence,"$2,032",Guam,2017
Health Care Related,$0,Guam,2017
IPR/Copyright and Counterfeit,$0,Guam,2017
Identity Theft,$0,Guam,2017
Investment,$0,Guam,2017
Lottery/Sweepstakes/Inheritance,$0,Guam,2017
Malware/Scareware/Virus,$0,Guam,2017
Misrepresentation,"$2,032",Guam,2017
No Lead Value,$0,Guam,2017
Non-payment/Non-Delivery,"$37,083",Guam,2017
Other,$682,Guam,2017
Overpayment,"$69,599",Guam,2017
Personal Data Breach,"$126,959",Guam,2017
Phishing/Vishing/Smishing/Pharming,$0,Guam,2017
Ransomware,$0,Guam,2017
Re-shipping,$0,Guam,2017
Real Estate/Rental,"$208,000",Guam,2017
Spoofing,$0,Guam,2017
Tech Support,$0,Guam,2017
Terrorism,$0,Guam,2017
Social Media,"$253,759",Guam,2017
Virtual Currency,$0,Guam,2017
Advanced Fee,"$97,883",Hawaii,2017
BEC/EAC,"$502,900",Hawaii,2017
Charity,$0,Hawaii,2017
Civil Matter,"$1,105",Hawaii,2017
Confidence Fraud/Romance,"$821,067",Hawaii,2017
Corporate Data Breach,"$3,575",Hawaii,2017
Credit Card Fraud,"$164,416",Hawaii,2017
Crimes Against Children,$0,Hawaii,2017
Criminal Forums,$0,Hawaii,2017
Denial of Service/TDos,$199,Hawaii,2017
Employment,"$41,151",Hawaii,2017
Extortion,"$105,253",Hawaii,2017
Gambling,$0,Hawaii,2017
Government Impersonation,"$19,970",Hawaii,2017
Hacktivist,$0,Hawaii,2017
Harassment/Threats of Violence,"$11,780",Hawaii,2017
Health Care Related,$0,Hawaii,2017
IPR/Copyright and Counterfeit,"$5,255",Hawaii,2017
Identity Theft,"$474,116",Hawaii,2017
Investment,"$82,785",Hawaii,2017
Lottery/Sweepstakes/Inheritance,"$120,152",Hawaii,2017
Malware/Scareware/Virus,"$3,327",Hawaii,2017
Misrepresentation,"$371,682",Hawaii,2017
No Lead Value,$0,Hawaii,2017
Non-payment/Non-Delivery,"$749,411",Hawaii,2017
Other,"$4,674",Hawaii,2017
Overpayment,"$251,925",Hawaii,2017
Personal Data Breach,"$270,864",Hawaii,2017
Phishing/Vishing/Smishing/Pharming,"$11,255",Hawaii,2017
Ransomware,$0,Hawaii,2017
Re-shipping,$0,Hawaii,2017
Real Estate/Rental,"$55,637",Hawaii,2017
Spoofing,$0,Hawaii,2017
Tech Support,"$14,965",Hawaii,2017
Terrorism,"$2,000",Hawaii,2017
Social Media,"$192,170",Hawaii,2017
Virtual Currency,"$311,454",Hawaii,2017
Advanced Fee,"$329,438",Idaho,2017
BEC/EAC,"$4,850,151",Idaho,2017
Charity,"$2,400",Idaho,2017
Civil Matter,"$116,666",Idaho,2017
Confidence Fraud/Romance,"$1,502,958",Idaho,2017
Corporate Data Breach,"$6,089",Idaho,2017
Credit Card Fraud,"$118,772",Idaho,2017
Crimes Against Children,$0,Idaho,2017
Criminal Forums,$0,Idaho,2017
Denial of Service/TDos,$10,Idaho,2017
Employment,"$44,022",Idaho,2017
Extortion,"$200,445",Idaho,2017
Gambling,$0,Idaho,2017
Government Impersonation,"$9,332",Idaho,2017
Hacktivist,$0,Idaho,2017
Harassment/Threats of Violence,"$31,459",Idaho,2017
Health Care Related,$399,Idaho,2017
IPR/Copyright and Counterfeit,$825,Idaho,2017
Identity Theft,"$144,070",Idaho,2017
Investment,"$131,616",Idaho,2017
Lottery/Sweepstakes/Inheritance,"$42,250",Idaho,2017
Malware/Scareware/Virus,$601,Idaho,2017
Misrepresentation,"$55,399",Idaho,2017
No Lead Value,$0,Idaho,2017
Non-payment/Non-Delivery,"$602,826",Idaho,2017
Other,"$10,702",Idaho,2017
Overpayment,"$377,765",Idaho,2017
Personal Data Breach,"$2,388,466",Idaho,2017
Phishing/Vishing/Smishing/Pharming,"$70,098",Idaho,2017
Ransomware,"$8,473",Idaho,2017
Re-shipping,"$4,950",Idaho,2017
Real Estate/Rental,"$305,063",Idaho,2017
Spoofing,$0,Idaho,2017
Tech Support,"$26,099",Idaho,2017
Terrorism,$0,Idaho,2017
Social Media,"$856,368",Idaho,2017
Virtual Currency,"$48,505",Idaho,2017
Advanced Fee,"$1,564,695",Illinois,2017
BEC/EAC,"$23,031,136",Illinois,2017
Charity,"$161,640",Illinois,2017
Civil Matter,"$267,152",Illinois,2017
Confidence Fraud/Romance,"$4,482,856",Illinois,2017
Corporate Data Breach,"$1,938,279",Illinois,2017
Credit Card Fraud,"$2,216,985",Illinois,2017
Crimes Against Children,$84,Illinois,2017
Criminal Forums,$0,Illinois,2017
Denial of Service/TDos,$0,Illinois,2017
Employment,"$1,308,675",Illinois,2017
Extortion,"$249,123",Illinois,2017
Gambling,"$1,230",Illinois,2017
Government Impersonation,"$148,452",Illinois,2017
Hacktivist,$0,Illinois,2017
Harassment/Threats of Violence,"$329,806",Illinois,2017
Health Care Related,$539,Illinois,2017
IPR/Copyright and Counterfeit,"$46,122",Illinois,2017
Identity Theft,"$2,870,981",Illinois,2017
Investment,"$2,450,908",Illinois,2017
Lottery/Sweepstakes/Inheritance,"$160,730",Illinois,2017
Malware/Scareware/Virus,"$70,443",Illinois,2017
Misrepresentation,"$213,468",Illinois,2017
No Lead Value,$0,Illinois,2017
Non-payment/Non-Delivery,"$3,822,872",Illinois,2017
Other,"$233,843",Illinois,2017
Overpayment,"$1,256,210",Illinois,2017
Personal Data Breach,"$3,339,369",Illinois,2017
Phishing/Vishing/Smishing/Pharming,"$207,137",Illinois,2017
Ransomware,"$119,019",Illinois,2017
Re-shipping,"$4,486",Illinois,2017
Real Estate/Rental,"$3,104,993",Illinois,2017
Spoofing,$0,Illinois,2017
Tech Support,"$279,110",Illinois,2017
Terrorism,$0,Illinois,2017
Social Media,"$1,660,445",Illinois,2017
Virtual Currency,"$585,170",Illinois,2017
Advanced Fee,"$712,368",Indiana,2017
BEC/EAC,"$5,921,662",Indiana,2017
Charity,"$2,575",Indiana,2017
Civil Matter,"$51,338",Indiana,2017
Confidence Fraud/Romance,"$2,766,284",Indiana,2017
Corporate Data Breach,"$620,966",Indiana,2017
Credit Card Fraud,"$380,486",Indiana,2017
Crimes Against Children,$0,Indiana,2017
Criminal Forums,$0,Indiana,2017
Denial of Service/TDos,$300,Indiana,2017
Employment,"$275,335",Indiana,2017
Extortion,"$168,689",Indiana,2017
Gambling,"$3,145",Indiana,2017
Government Impersonation,"$124,160",Indiana,2017
Hacktivist,$0,Indiana,2017
Harassment/Threats of Violence,"$64,985",Indiana,2017
Health Care Related,"$48,450",Indiana,2017
IPR/Copyright and Counterfeit,"$25,747",Indiana,2017
Identity Theft,"$157,260",Indiana,2017
Investment,"$79,659",Indiana,2017
Lottery/Sweepstakes/Inheritance,"$419,515",Indiana,2017
Malware/Scareware/Virus,"$3,053",Indiana,2017
Misrepresentation,"$109,669",Indiana,2017
No Lead Value,$0,Indiana,2017
Non-payment/Non-Delivery,"$1,780,825",Indiana,2017
Other,"$270,461",Indiana,2017
Overpayment,"$557,006",Indiana,2017
Personal Data Breach,"$393,163",Indiana,2017
Phishing/Vishing/Smishing/Pharming,"$482,438",Indiana,2017
Ransomware,"$11,635",Indiana,2017
Re-shipping,"$4,638",Indiana,2017
Real Estate/Rental,"$144,666",Indiana,2017
Spoofing,$0,Indiana,2017
Tech Support,"$258,019",Indiana,2017
Terrorism,$0,Indiana,2017
Social Media,"$501,388",Indiana,2017
Virtual Currency,"$64,858",Indiana,2017
Advanced Fee,"$602,246",Iowa,2017
BEC/EAC,"$645,276",Iowa,2017
Charity,$150,Iowa,2017
Civil Matter,$293,Iowa,2017
Confidence Fraud/Romance,"$650,218",Iowa,2017
