Crime Type,Victim Count,State/Territory,Year
Identity Theft,0,American Samoa,2017
Investment,1,American Samoa,2017
Lottery/Sweepstakes/Inheritance,0,American Samoa,2017
Malware/Scareware/Virus,0,American Samoa,2017
Misrepresentation,0,American Samoa,2017
No Lead Value,5,American Samoa,2017
Non-payment/Non-Delivery,2,American Samoa,2017
Other,1,American Samoa,2017
Overpayment,0,American Samoa,2017
Personal Data Breach,1,American Samoa,2017
Phishing/Vishing/Smishing/Pharming,1,American Samoa,2017
Ransomware,0,American Samoa,2017
Re-shipping,0,American Samoa,2017
Real Estate/Rental,1,American Samoa,2017
Spoofing,0,American Samoa,2017
Tech Support,0,American Samoa,2017
Terrorism,0,American Samoa,2017
Social Media,2,American Samoa,2017
Virtual Currency,0,American Samoa,2017
Advanced Fee,317,Arizona,2017
BEC/EAC,309,Arizona,2017
Charity,8,Arizona,2017
Civil Matter,22,Arizona,2017
Confidence Fraud/Romance,327,Arizona,2017
Corporate Data Breach,70,Arizona,2017
Credit Card Fraud,309,Arizona,2017
Crimes Against Children,24,Arizona,2017
Criminal Forums,0,Arizona,2017
Denial of Service/TDos,37,Arizona,2017
Employment,487,Arizona,2017
Extortion,367,Arizona,2017
Gambling,2,Arizona,2017
Government Impersonation,202,Arizona,2017
Hacktivist,4,Arizona,2017
Harassment/Threats of Violence,412,Arizona,2017
Health Care Related,13,Arizona,2017
IPR/Copyright and Counterfeit,53,Arizona,2017
Identity Theft,405,Arizona,2017
Investment,43,Arizona,2017
Lottery/Sweepstakes/Inheritance,65,Arizona,2017
Malware/Scareware/Virus,103,Arizona,2017
Misrepresentation,136,Arizona,2017
No Lead Value,254,Arizona,2017
Non-payment/Non-Delivery,"1,634",Arizona,2017
Other,198,Arizona,2017
Overpayment,621,Arizona,2017
Personal Data Breach,795,Arizona,2017
Phishing/Vishing/Smishing/Pharming,515,Arizona,2017
Ransomware,49,Arizona,2017
Re-shipping,30,Arizona,2017
Real Estate/Rental,284,Arizona,2017
Spoofing,0,Arizona,2017
Tech Support,322,Arizona,2017
Terrorism,5,Arizona,2017
Social Media,506,Arizona,2017
Virtual Currency,66,Arizona,2017
Advanced Fee,113,Arkansas,2017
BEC/EAC,85,Arkansas,2017
Charity,4,Arkansas,2017
Civil Matter,5,Arkansas,2017
Confidence Fraud/Romance,121,Arkansas,2017
Corporate Data Breach,18,Arkansas,2017
Credit Card Fraud,71,Arkansas,2017
Crimes Against Children,7,Arkansas,2017
Criminal Forums,0,Arkansas,2017
Denial of Service/TDos,7,Arkansas,2017
Employment,109,Arkansas,2017
Extortion,118,Arkansas,2017
Gambling,1,Arkansas,2017
Government Impersonation,58,Arkansas,2017
Hacktivist,0,Arkansas,2017
Harassment/Threats of Violence,118,Arkansas,2017
Health Care Related,0,Arkansas,2017
IPR/Copyright and Counterfeit,15,Arkansas,2017
Identity Theft,96,Arkansas,2017
Investment,10,Arkansas,2017
Lottery/Sweepstakes/Inheritance,31,Arkansas,2017
Malware/Scareware/Virus,21,Arkansas,2017
Misrepresentation,37,Arkansas,2017
No Lead Value,53,Arkansas,2017
Non-payment/Non-Delivery,498,Arkansas,2017
Other,84,Arkansas,2017
Overpayment,140,Arkansas,2017
Personal Data Breach,192,Arkansas,2017
Phishing/Vishing/Smishing/Pharming,135,Arkansas,2017
Ransomware,14,Arkansas,2017
Re-shipping,7,Arkansas,2017
Real Estate/Rental,29,Arkansas,2017
Spoofing,0,Arkansas,2017
Tech Support,70,Arkansas,2017
Terrorism,1,Arkansas,2017
Social Media,174,Arkansas,2017
Virtual Currency,17,Arkansas,2017
Advanced Fee,"1,913",California,2017
BEC/EAC,"2,429",California,2017
Charity,45,California,2017
Civil Matter,186,California,2017
Confidence Fraud/Romance,"1,761",California,2017
Corporate Data Breach,632,California,2017
Credit Card Fraud,"2,329",California,2017
Crimes Against Children,125,California,2017
Criminal Forums,0,California,2017
Denial of Service/TDos,177,California,2017
Employment,"2,111",California,2017
Extortion,"2,054",California,2017
Gambling,23,California,2017
Government Impersonation,"1,033",California,2017
Hacktivist,28,California,2017
Harassment/Threats of Violence,"2,412",California,2017
Health Care Related,57,California,2017
IPR/Copyright and Counterfeit,399,California,2017
Identity Theft,"2,609",California,2017
Investment,312,California,2017
Lottery/Sweepstakes/Inheritance,280,California,2017
Malware/Scareware/Virus,408,California,2017
Misrepresentation,781,California,2017
No Lead Value,"3,048",California,2017
Non-payment/Non-Delivery,"11,209",California,2017
Other,"2,558",California,2017
Overpayment,"2,802",California,2017
Personal Data Breach,"4,764",California,2017
Phishing/Vishing/Smishing/Pharming,"3,098",California,2017
Ransomware,222,California,2017
Re-shipping,105,California,2017
Real Estate/Rental,"1,940",California,2017
Spoofing,0,California,2017
Tech Support,"1,627",California,2017
Terrorism,29,California,2017
Social Media,"2,351",California,2017
Virtual Currency,559,California,2017
Advanced Fee,763,Colorado,2017
BEC/EAC,391,Colorado,2017
Charity,12,Colorado,2017
Civil Matter,13,Colorado,2017
Confidence Fraud/Romance,299,Colorado,2017
Corporate Data Breach,73,Colorado,2017
Credit Card Fraud,321,Colorado,2017
Crimes Against Children,9,Colorado,2017
Criminal Forums,0,Colorado,2017
Denial of Service/TDos,20,Colorado,2017
Employment,332,Colorado,2017
Extortion,429,Colorado,2017
Gambling,4,Colorado,2017
Government Impersonation,349,Colorado,2017
Hacktivist,4,Colorado,2017
Harassment/Threats of Violence,261,Colorado,2017
Health Care Related,34,Colorado,2017
IPR/Copyright and Counterfeit,53,Colorado,2017
Identity Theft,385,Colorado,2017
Investment,33,Colorado,2017
Lottery/Sweepstakes/Inheritance,82,Colorado,2017
Malware/Scareware/Virus,76,Colorado,2017
Misrepresentation,84,Colorado,2017
No Lead Value,278,Colorado,2017
Non-payment/Non-Delivery,"1,500",Colorado,2017
Other,914,Colorado,2017
Overpayment,"1,255",Colorado,2017
Personal Data Breach,561,Colorado,2017
Phishing/Vishing/Smishing/Pharming,"1,273",Colorado,2017
Ransomware,26,Colorado,2017
Re-shipping,24,Colorado,2017
Real Estate/Rental,274,Colorado,2017
Spoofing,0,Colorado,2017
Tech Support,222,Colorado,2017
Terrorism,1,Colorado,2017
Social Media,313,Colorado,2017
Virtual Currency,70,Colorado,2017
Advanced Fee,105,Connecticut,2017
BEC/EAC,196,Connecticut,2017
Charity,10,Connecticut,2017
Civil Matter,10,Connecticut,2017
Confidence Fraud/Romance,129,Connecticut,2017
Corporate Data Breach,45,Connecticut,2017
Credit Card Fraud,145,Connecticut,2017
Crimes Against Children,15,Connecticut,2017
Criminal Forums,0,Connecticut,2017
Denial of Service/TDos,15,Connecticut,2017
Employment,115,Connecticut,2017
Extortion,135,Connecticut,2017
Gambling,3,Connecticut,2017
Government Impersonation,97,Connecticut,2017
Hacktivist,3,Connecticut,2017
Harassment/Threats of Violence,149,Connecticut,2017
Health Care Related,4,Connecticut,2017
IPR/Copyright and Counterfeit,32,Connecticut,2017
Identity Theft,173,Connecticut,2017
Investment,9,Connecticut,2017
Lottery/Sweepstakes/Inheritance,19,Connecticut,2017
Malware/Scareware/Virus,34,Connecticut,2017
Misrepresentation,36,Connecticut,2017
No Lead Value,82,Connecticut,2017
Non-payment/Non-Delivery,779,Connecticut,2017
Other,108,Connecticut,2017
Overpayment,178,Connecticut,2017
Personal Data Breach,281,Connecticut,2017
Phishing/Vishing/Smishing/Pharming,220,Connecticut,2017
Ransomware,21,Connecticut,2017
Re-shipping,9,Connecticut,2017
Real Estate/Rental,105,Connecticut,2017
Spoofing,0,Connecticut,2017
Tech Support,108,Connecticut,2017
Terrorism,2,Connecticut,2017
Social Media,152,Connecticut,2017
Virtual Currency,30,Connecticut,2017
Advanced Fee,50,Delaware,2017
BEC/EAC,25,Delaware,2017
Charity,1,Delaware,2017
Civil Matter,1,Delaware,2017
Confidence Fraud/Romance,35,Delaware,2017
Corporate Data Breach,7,Delaware,2017
Credit Card Fraud,41,Delaware,2017
Crimes Against Children,1,Delaware,2017
Criminal Forums,0,Delaware,2017
Denial of Service/TDos,2,Delaware,2017
Employment,36,Delaware,2017
Extortion,56,Delaware,2017
Gambling,0,Delaware,2017
Government Impersonation,39,Delaware,2017
Hacktivist,0,Delaware,2017
Harassment/Threats of Violence,35,Delaware,2017
Health Care Related,1,Delaware,2017
IPR/Copyright and Counterfeit,4,Delaware,2017
Identity Theft,39,Delaware,2017
Investment,4,Delaware,2017
Lottery/Sweepstakes/Inheritance,6,Delaware,2017
Malware/Scareware/Virus,9,Delaware,2017
Misrepresentation,26,Delaware,2017
No Lead Value,6,Delaware,2017
Non-payment/Non-Delivery,278,Delaware,2017
Other,24,Delaware,2017
Overpayment,46,Delaware,2017
Personal Data Breach,64,Delaware,2017
Phishing/Vishing/Smishing/Pharming,68,Delaware,2017
Ransomware,5,Delaware,2017
Re-shipping,4,Delaware,2017
Real Estate/Rental,24,Delaware,2017
Spoofing,0,Delaware,2017
Tech Support,38,Delaware,2017
Terrorism,1,Delaware,2017
Social Media,48,Delaware,2017
Virtual Currency,6,Delaware,2017
Advanced Fee,53,District of Columbia,2017
BEC/EAC,84,District of Columbia,2017
Charity,0,District of Columbia,2017
Civil Matter,2,District of Columbia,2017
Confidence Fraud/Romance,23,District of Columbia,2017
Corporate Data Breach,17,District of Columbia,2017
Credit Card Fraud,39,District of Columbia,2017
Crimes Against Children,4,District of Columbia,2017
Criminal Forums,0,District of Columbia,2017
Denial of Service/TDos,3,District of Columbia,2017
Employment,54,District of Columbia,2017
Extortion,49,District of Columbia,2017
Gambling,0,District of Columbia,2017
Government Impersonation,44,District of Columbia,2017
Hacktivist,3,District of Columbia,2017
Harassment/Threats of Violence,72,District of Columbia,2017
Health Care Related,1,District of Columbia,2017
IPR/Copyright and Counterfeit,17,District of Columbia,2017
Identity Theft,54,District of Columbia,2017
Investment,1,District of Columbia,2017
Lottery/Sweepstakes/Inheritance,6,District of Columbia,2017
Malware/Scareware/Virus,10,District of Columbia,2017
Misrepresentation,29,District of Columbia,2017
No Lead Value,69,District of Columbia,2017
Non-payment/Non-Delivery,322,District of Columbia,2017
Other,44,District of Columbia,2017
Overpayment,75,District of Columbia,2017
Personal Data Breach,137,District of Columbia,2017
Phishing/Vishing/Smishing/Pharming,88,District of Columbia,2017
Ransomware,9,District of Columbia,2017
Re-shipping,2,District of Columbia,2017
Real Estate/Rental,84,District of Columbia,2017
Spoofing,0,District of Columbia,2017
Tech Support,29,District of Columbia,2017
Terrorism,2,District of Columbia,2017
Social Media,56,District of Columbia,2017
Virtual Currency,18,District of Columbia,2017
Advanced Fee,"1,076",Florida,2017
BEC/EAC,"1,111",Florida,2017
Charity,34,Florida,2017
Civil Matter,77,Florida,2017
Confidence Fraud/Romance,"1,085",Florida,2017
Corporate Data Breach,300,Florida,2017
Credit Card Fraud,"1,440",Florida,2017
Crimes Against Children,52,Florida,2017
Criminal Forums,0,Florida,2017
Denial of Service/TDos,78,Florida,2017
Employment,"1,307",Florida,2017
Extortion,"1,090",Florida,2017
Gambling,10,Florida,2017
Government Impersonation,645,Florida,2017
Hacktivist,8,Florida,2017
Harassment/Threats of Violence,"1,267",Florida,2017
Health Care Related,33,Florida,2017
IPR/Copyright and Counterfeit,161,Florida,2017
Identity Theft,"1,789",Florida,2017
Investment,166,Florida,2017
Lottery/Sweepstakes/Inheritance,195,Florida,2017
Malware/Scareware/Virus,234,Florida,2017
Misrepresentation,419,Florida,2017
No Lead Value,982,Florida,2017
Non-payment/Non-Delivery,"6,236",Florida,2017
Other,910,Florida,2017
Overpayment,"1,504",Florida,2017
Personal Data Breach,"2,484",Florida,2017
Phishing/Vishing/Smishing/Pharming,"1,602",Florida,2017
Ransomware,145,Florida,2017
Re-shipping,108,Florida,2017
Real Estate/Rental,819,Florida,2017
Spoofing,0,Florida,2017
Tech Support,905,Florida,2017
Terrorism,19,Florida,2017
Social Media,"1,367",Florida,2017
Virtual Currency,284,Florida,2017
Advanced Fee,334,Georgia,2017
BEC/EAC,359,Georgia,2017
Charity,12,Georgia,2017
Civil Matter,21,Georgia,2017
Confidence Fraud/Romance,294,Georgia,2017
Corporate Data Breach,93,Georgia,2017
Credit Card Fraud,375,Georgia,2017
Crimes Against Children,24,Georgia,2017
Criminal Forums,0,Georgia,2017
Denial of Service/TDos,20,Georgia,2017
Employment,492,Georgia,2017
Extortion,326,Georgia,2017
Gambling,4,Georgia,2017
Government Impersonation,188,Georgia,2017
Hacktivist,2,Georgia,2017
Harassment/Threats of Violence,347,Georgia,2017
Health Care Related,8,Georgia,2017
IPR/Copyright and Counterfeit,60,Georgia,2017
Identity Theft,496,Georgia,2017
Investment,51,Georgia,2017
Lottery/Sweepstakes/Inheritance,66,Georgia,2017
Malware/Scareware/Virus,49,Georgia,2017
Misrepresentation,159,Georgia,2017
No Lead Value,234,Georgia,2017
Non-payment/Non-Delivery,"2,346",Georgia,2017
Other,298,Georgia,2017
Overpayment,448,Georgia,2017
Personal Data Breach,777,Georgia,2017
Phishing/Vishing/Smishing/Pharming,461,Georgia,2017
Ransomware,39,Georgia,2017
Re-shipping,41,Georgia,2017
Real Estate/Rental,189,Georgia,2017
Spoofing,0,Georgia,2017
Tech Support,201,Georgia,2017
Terrorism,1,Georgia,2017
Social Media,486,Georgia,2017
Virtual Currency,81,Georgia,2017
Advanced Fee,6,Guam,2017
BEC/EAC,9,Guam,2017
Charity,0,Guam,2017
Civil Matter,0,Guam,2017
Confidence Fraud/Romance,2,Guam,2017
Corporate Data Breach,1,Guam,2017
Credit Card Fraud,1,Guam,2017
Crimes Against Children,1,Guam,2017
Criminal Forums,0,Guam,2017
Denial of Service/TDos,0,Guam,2017
Employment,3,Guam,2017
Extortion,4,Guam,2017
Gambling,0,Guam,2017
Government Impersonation,1,Guam,2017
Hacktivist,0,Guam,2017
Harassment/Threats of Violence,2,Guam,2017
Health Care Related,0,Guam,2017
IPR/Copyright and Counterfeit,0,Guam,2017
Identity Theft,4,Guam,2017
Investment,0,Guam,2017
Lottery/Sweepstakes/Inheritance,0,Guam,2017
Malware/Scareware/Virus,0,Guam,2017
Misrepresentation,1,Guam,2017
No Lead Value,0,Guam,2017
Non-payment/Non-Delivery,25,Guam,2017
Other,4,Guam,2017
Overpayment,6,Guam,2017
Personal Data Breach,7,Guam,2017
Phishing/Vishing/Smishing/Pharming,2,Guam,2017
Ransomware,0,Guam,2017
Re-shipping,0,Guam,2017
Real Estate/Rental,1,Guam,2017
Spoofing,0,Guam,2017
Tech Support,1,Guam,2017
Terrorism,0,Guam,2017
Social Media,5,Guam,2017
Virtual Currency,0,Guam,2017
Advanced Fee,61,Hawaii,2017
BEC/EAC,783,Hawaii,2017
Charity,0,Hawaii,2017
Civil Matter,7,Hawaii,2017
Confidence Fraud/Romance,60,Hawaii,2017
Corporate Data Breach,339,Hawaii,2017
Credit Card Fraud,48,Hawaii,2017
Crimes Against Children,17,Hawaii,2017
Criminal Forums,0,Hawaii,2017
Denial of Service/TDos,4,Hawaii,2017
Employment,34,Hawaii,2017
Extortion,59,Hawaii,2017
Gambling,0,Hawaii,2017
Government Impersonation,29,Hawaii,2017
Hacktivist,0,Hawaii,2017
Harassment/Threats of Violence,73,Hawaii,2017
Health Care Related,0,Hawaii,2017
IPR/Copyright and Counterfeit,16,Hawaii,2017
Identity Theft,341,Hawaii,2017
Investment,16,Hawaii,2017
Lottery/Sweepstakes/Inheritance,21,Hawaii,2017
Malware/Scareware/Virus,25,Hawaii,2017
Misrepresentation,23,Hawaii,2017
No Lead Value,36,Hawaii,2017
Non-payment/Non-Delivery,271,Hawaii,2017
Other,47,Hawaii,2017
Overpayment,71,Hawaii,2017
Personal Data Breach,263,Hawaii,2017
Phishing/Vishing/Smishing/Pharming,401,Hawaii,2017
Ransomware,1,Hawaii,2017
Re-shipping,0,Hawaii,2017
Real Estate/Rental,73,Hawaii,2017
Spoofing,0,Hawaii,2017
Tech Support,56,Hawaii,2017
Terrorism,2,Hawaii,2017
Social Media,80,Hawaii,2017
Virtual Currency,14,Hawaii,2017
Advanced Fee,67,Idaho,2017
BEC/EAC,58,Idaho,2017
Charity,4,Idaho,2017
Civil Matter,5,Idaho,2017
Confidence Fraud/Romance,73,Idaho,2017
Corporate Data Breach,13,Idaho,2017
Credit Card Fraud,67,Idaho,2017
Crimes Against Children,5,Idaho,2017
Criminal Forums,0,Idaho,2017
Denial of Service/TDos,6,Idaho,2017
Employment,59,Idaho,2017
Extortion,68,Idaho,2017
Gambling,0,Idaho,2017
Government Impersonation,51,Idaho,2017
Hacktivist,1,Idaho,2017
Harassment/Threats of Violence,54,Idaho,2017
Health Care Related,1,Idaho,2017
IPR/Copyright and Counterfeit,9,Idaho,2017
Identity Theft,73,Idaho,2017
Investment,5,Idaho,2017
Lottery/Sweepstakes/Inheritance,21,Idaho,2017
Malware/Scareware/Virus,19,Idaho,2017
Misrepresentation,19,Idaho,2017
No Lead Value,49,Idaho,2017
Non-payment/Non-Delivery,321,Idaho,2017
Other,44,Idaho,2017
Overpayment,125,Idaho,2017
Personal Data Breach,135,Idaho,2017
Phishing/Vishing/Smishing/Pharming,95,Idaho,2017
Ransomware,6,Idaho,2017
Re-shipping,2,Idaho,2017
Real Estate/Rental,44,Idaho,2017
Spoofing,0,Idaho,2017
Tech Support,48,Idaho,2017
Terrorism,0,Idaho,2017
Social Media,92,Idaho,2017
Virtual Currency,14,Idaho,2017
Advanced Fee,403,Illinois,2017
BEC/EAC,548,Illinois,2017
Charity,17,Illinois,2017
Civil Matter,28,Illinois,2017
Confidence Fraud/Romance,392,Illinois,2017
Corporate Data Breach,125,Illinois,2017
Credit Card Fraud,460,Illinois,2017
Crimes Against Children,30,Illinois,2017
Criminal Forums,0,Illinois,2017
Denial of Service/TDos,37,Illinois,2017
Employment,514,Illinois,2017
Extortion,432,Illinois,2017
Gambling,5,Illinois,2017
Government Impersonation,266,Illinois,2017
Hacktivist,6,Illinois,2017
Harassment/Threats of Violence,626,Illinois,2017
Health Care Related,9,Illinois,2017
IPR/Copyright and Counterfeit,103,Illinois,2017
Identity Theft,586,Illinois,2017
Investment,68,Illinois,2017
Lottery/Sweepstakes/Inheritance,59,Illinois,2017
Malware/Scareware/Virus,99,Illinois,2017
Misrepresentation,154,Illinois,2017
No Lead Value,696,Illinois,2017
Non-payment/Non-Delivery,"2,773",Illinois,2017
Other,340,Illinois,2017
Overpayment,575,Illinois,2017
Personal Data Breach,934,Illinois,2017
Phishing/Vishing/Smishing/Pharming,623,Illinois,2017
Ransomware,75,Illinois,2017
Re-shipping,30,Illinois,2017
Real Estate/Rental,317,Illinois,2017
Spoofing,0,Illinois,2017
Tech Support,337,Illinois,2017
Terrorism,3,Illinois,2017
Social Media,549,Illinois,2017
Virtual Currency,132,Illinois,2017
Advanced Fee,243,Indiana,2017
BEC/EAC,220,Indiana,2017
Charity,8,Indiana,2017
Civil Matter,13,Indiana,2017
Confidence Fraud/Romance,247,Indiana,2017
Corporate Data Breach,26,Indiana,2017
Credit Card Fraud,216,Indiana,2017
Crimes Against Children,17,Indiana,2017
Criminal Forums,0,Indiana,2017
Denial of Service/TDos,16,Indiana,2017
Employment,216,Indiana,2017
Extortion,275,Indiana,2017
Gambling,3,Indiana,2017
Government Impersonation,150,Indiana,2017
Hacktivist,5,Indiana,2017
Harassment/Threats of Violence,226,Indiana,2017
Health Care Related,8,Indiana,2017
IPR/Copyright and Counterfeit,27,Indiana,2017
Identity Theft,234,Indiana,2017
Investment,17,Indiana,2017
Lottery/Sweepstakes/Inheritance,61,Indiana,2017
Malware/Scareware/Virus,40,Indiana,2017
Misrepresentation,61,Indiana,2017
No Lead Value,176,Indiana,2017
Non-payment/Non-Delivery,"1,139",Indiana,2017
Other,209,Indiana,2017
Overpayment,257,Indiana,2017
Personal Data Breach,397,Indiana,2017
Phishing/Vishing/Smishing/Pharming,280,Indiana,2017
Ransomware,26,Indiana,2017
Re-shipping,26,Indiana,2017
Real Estate/Rental,139,Indiana,2017
Spoofing,0,Indiana,2017
Tech Support,163,Indiana,2017
Terrorism,2,Indiana,2017
Social Media,371,Indiana,2017
Virtual Currency,34,Indiana,2017
Advanced Fee,108,Iowa,2017
BEC/EAC,75,Iowa,2017
Charity,2,Iowa,2017
Civil Matter,7,Iowa,2017
Confidence Fraud/Romance,115,Iowa,2017
Corporate Data Breach,22,Iowa,2017
Credit Card Fraud,78,Iowa,2017
Crimes Against Children,7,Iowa,2017
Criminal Forums,0,Iowa,2017
Denial of Service/TDos,18,Iowa,2017
Employment,64,Iowa,2017
Extortion,114,Iowa,2017
Gambling,0,Iowa,2017
Government Impersonation,52,Iowa,2017
Hacktivist,3,Iowa,2017
Harassment/Threats of Violence,94,Iowa,2017
Health Care Related,1,Iowa,2017
IPR/Copyright and Counterfeit,12,Iowa,2017
Identity Theft,88,Iowa,2017
Investment,2,Iowa,2017
Lottery/Sweepstakes/Inheritance,20,Iowa,2017
Malware/Scareware/Virus,18,Iowa,2017
Misrepresentation,36,Iowa,2017
No Lead Value,28,Iowa,2017
Non-payment/Non-Delivery,458,Iowa,2017
Other,54,Iowa,2017
Overpayment,126,Iowa,2017
Personal Data Breach,134,Iowa,2017
Phishing/Vishing/Smishing/Pharming,120,Iowa,2017
Ransomware,17,Iowa,2017
Re-shipping,9,Iowa,2017
Real Estate/Rental,44,Iowa,2017
Spoofing,0,Iowa,2017
Tech Support,70,Iowa,2017
Terrorism,0,Iowa,2017
Social Media,134,Iowa,2017
Virtual Currency,10,Iowa,2017
Advanced Fee,104,Kansas,2017
BEC/EAC,103,Kansas,2017
Charity,5,Kansas,2017
Civil Matter,4,Kansas,2017
Confidence Fraud/Romance,104,Kansas,2017
Corporate Data Breach,28,Kansas,2017
Credit Card Fraud,87,Kansas,2017
Crimes Against Children,9,Kansas,2017
Criminal Forums,0,Kansas,2017
Denial of Service/TDos,11,Kansas,2017
Employment,96,Kansas,2017
Extortion,98,Kansas,2017
Gambling,0,Kansas,2017
Government Impersonation,53,Kansas,2017
Hacktivist,1,Kansas,2017
Harassment/Threats of Violence,92,Kansas,2017
Health Care Related,2,Kansas,2017
IPR/Copyright and Counterfeit,37,Kansas,2017
Identity Theft,121,Kansas,2017
Investment,15,Kansas,2017
Lottery/Sweepstakes/Inheritance,32,Kansas,2017
Malware/Scareware/Virus,20,Kansas,2017
Misrepresentation,38,Kansas,2017
No Lead Value,20,Kansas,2017
Non-payment/Non-Delivery,497,Kansas,2017
Other,74,Kansas,2017
Overpayment,160,Kansas,2017
Personal Data Breach,179,Kansas,2017
Phishing/Vishing/Smishing/Pharming,150,Kansas,2017
Ransomware,7,Kansas,2017
Re-shipping,4,Kansas,2017
Real Estate/Rental,39,Kansas,2017
Spoofing,0,Kansas,2017
Tech Support,76,Kansas,2017
Terrorism,0,Kansas,2017
Social Media,138,Kansas,2017
Virtual Currency,10,Kansas,2017
Advanced Fee,157,Kentucky,2017
BEC/EAC,199,Kentucky,2017
Charity,4,Kentucky,2017
Civil Matter,8,Kentucky,2017
Confidence Fraud/Romance,190,Kentucky,2017
Corporate Data Breach,51,Kentucky,2017
Credit Card Fraud,166,Kentucky,2017
Crimes Against Children,25,Kentucky,2017
Criminal Forums,0,Kentucky,2017
Denial of Service/TDos,9,Kentucky,2017
Employment,143,Kentucky,2017
Extortion,150,Kentucky,2017
Gambling,2,Kentucky,2017
Government Impersonation,82,Kentucky,2017
Hacktivist,0,Kentucky,2017
Harassment/Threats of Violence,161,Kentucky,2017
Health Care Related,6,Kentucky,2017
IPR/Copyright and Counterfeit,14,Kentucky,2017
Identity Theft,195,Kentucky,2017
Investment,4,Kentucky,2017
Lottery/Sweepstakes/Inheritance,26,Kentucky,2017
Malware/Scareware/Virus,35,Kentucky,2017
Misrepresentation,45,Kentucky,2017
No Lead Value,77,Kentucky,2017
Non-payment/Non-Delivery,789,Kentucky,2017
Other,108,Kentucky,2017
Overpayment,197,Kentucky,2017
Personal Data Breach,286,Kentucky,2017
Phishing/Vishing/Smishing/Pharming,204,Kentucky,2017
Ransomware,19,Kentucky,2017
Re-shipping,16,Kentucky,2017
Real Estate/Rental,73,Kentucky,2017
Spoofing,0,Kentucky,2017
Tech Support,91,Kentucky,2017
Terrorism,0,Kentucky,2017
Social Media,229,Kentucky,2017
Virtual Currency,20,Kentucky,2017
Advanced Fee,190,Louisiana,2017
