Crime Type,Subject Count,State/Territory,Year
Phishing/Vishing/Smishing/Pharming,0,American Samoa,2017
Ransomware,0,American Samoa,2017
Re-shipping,0,American Samoa,2017
Real Estate/Rental,0,American Samoa,2017
Spoofing,0,American Samoa,2017
Tech Support,0,American Samoa,2017
Terrorism,0,American Samoa,2017
Social Media,0,American Samoa,2017
Virtual Currency,0,American Samoa,2017
Advanced Fee,83,Arizona,2017
BEC/EAC,57,Arizona,2017
Charity,7,Arizona,2017
Civil Matter,14,Arizona,2017
Confidence Fraud/Romance,106,Arizona,2017
Corporate Data Breach,15,Arizona,2017
Credit Card Fraud,108,Arizona,2017
Crimes Against Children,11,Arizona,2017
Criminal Forums,0,Arizona,2017
Denial of Service/TDos,13,Arizona,2017
Employment,93,Arizona,2017
Extortion,45,Arizona,2017
Gambling,1,Arizona,2017
Government Impersonation,9,Arizona,2017
Hacktivist,0,Arizona,2017
Harassment/Threats of Violence,208,Arizona,2017
Health Care Related,2,Arizona,2017
IPR/Copyright and Counterfeit,15,Arizona,2017
Identity Theft,132,Arizona,2017
Investment,28,Arizona,2017
Lottery/Sweepstakes/Inheritance,12,Arizona,2017
Malware/Scareware/Virus,17,Arizona,2017
Misrepresentation,51,Arizona,2017
No Lead Value,93,Arizona,2017
Non-payment/Non-Delivery,581,Arizona,2017
Other,64,Arizona,2017
Overpayment,119,Arizona,2017
Personal Data Breach,306,Arizona,2017
Phishing/Vishing/Smishing/Pharming,103,Arizona,2017
Ransomware,2,Arizona,2017
Re-shipping,3,Arizona,2017
Real Estate/Rental,79,Arizona,2017
Spoofing,0,Arizona,2017
Tech Support,31,Arizona,2017
Terrorism,2,Arizona,2017
Social Media,149,Arizona,2017
Virtual Currency,21,Arizona,2017
Advanced Fee,45,Arkansas,2017
BEC/EAC,18,Arkansas,2017
Charity,0,Arkansas,2017
Civil Matter,3,Arkansas,2017
Confidence Fraud/Romance,34,Arkansas,2017
Corporate Data Breach,8,Arkansas,2017
Credit Card Fraud,18,Arkansas,2017
Crimes Against Children,0,Arkansas,2017
Criminal Forums,0,Arkansas,2017
Denial of Service/TDos,4,Arkansas,2017
Employment,17,Arkansas,2017
Extortion,13,Arkansas,2017
Gambling,0,Arkansas,2017
Government Impersonation,8,Arkansas,2017
Hacktivist,0,Arkansas,2017
Harassment/Threats of Violence,57,Arkansas,2017
Health Care Related,0,Arkansas,2017
IPR/Copyright and Counterfeit,4,Arkansas,2017
Identity Theft,24,Arkansas,2017
Investment,2,Arkansas,2017
Lottery/Sweepstakes/Inheritance,6,Arkansas,2017
Malware/Scareware/Virus,3,Arkansas,2017
Misrepresentation,9,Arkansas,2017
No Lead Value,25,Arkansas,2017
Non-payment/Non-Delivery,199,Arkansas,2017
Other,10,Arkansas,2017
Overpayment,39,Arkansas,2017
Personal Data Breach,69,Arkansas,2017
Phishing/Vishing/Smishing/Pharming,16,Arkansas,2017
Ransomware,0,Arkansas,2017
Re-shipping,0,Arkansas,2017
Real Estate/Rental,22,Arkansas,2017
Spoofing,0,Arkansas,2017
Tech Support,3,Arkansas,2017
Terrorism,0,Arkansas,2017
Social Media,56,Arkansas,2017
Virtual Currency,3,Arkansas,2017
Advanced Fee,"1,011",California,2017
BEC/EAC,357,California,2017
Charity,22,California,2017
Civil Matter,153,California,2017
Confidence Fraud/Romance,818,California,2017
Corporate Data Breach,135,California,2017
Credit Card Fraud,980,California,2017
Crimes Against Children,36,California,2017
Criminal Forums,0,California,2017
Denial of Service/TDos,61,California,2017
Employment,890,California,2017
Extortion,428,California,2017
Gambling,8,California,2017
Government Impersonation,160,California,2017
Hacktivist,4,California,2017
Harassment/Threats of Violence,"1,148",California,2017
Health Care Related,30,California,2017
IPR/Copyright and Counterfeit,167,California,2017
Identity Theft,808,California,2017
Investment,235,California,2017
Lottery/Sweepstakes/Inheritance,156,California,2017
Malware/Scareware/Virus,113,California,2017
Misrepresentation,495,California,2017
No Lead Value,974,California,2017
Non-payment/Non-Delivery,"4,371",California,2017
Other,612,California,2017
Overpayment,"1,118",California,2017
Personal Data Breach,"1,721",California,2017
Phishing/Vishing/Smishing/Pharming,708,California,2017
Ransomware,18,California,2017
Re-shipping,60,California,2017
Real Estate/Rental,783,California,2017
Spoofing,0,California,2017
Tech Support,521,California,2017
Terrorism,13,California,2017
Social Media,"1,138",California,2017
Virtual Currency,142,California,2017
Advanced Fee,115,Colorado,2017
BEC/EAC,58,Colorado,2017
Charity,7,Colorado,2017
Civil Matter,14,Colorado,2017
Confidence Fraud/Romance,91,Colorado,2017
Corporate Data Breach,9,Colorado,2017
Credit Card Fraud,82,Colorado,2017
Crimes Against Children,6,Colorado,2017
Criminal Forums,0,Colorado,2017
Denial of Service/TDos,5,Colorado,2017
Employment,99,Colorado,2017
Extortion,45,Colorado,2017
Gambling,2,Colorado,2017
Government Impersonation,21,Colorado,2017
Hacktivist,0,Colorado,2017
Harassment/Threats of Violence,99,Colorado,2017
Health Care Related,3,Colorado,2017
IPR/Copyright and Counterfeit,13,Colorado,2017
Identity Theft,49,Colorado,2017
Investment,11,Colorado,2017
Lottery/Sweepstakes/Inheritance,5,Colorado,2017
Malware/Scareware/Virus,5,Colorado,2017
Misrepresentation,42,Colorado,2017
No Lead Value,46,Colorado,2017
Non-payment/Non-Delivery,445,Colorado,2017
Other,62,Colorado,2017
Overpayment,111,Colorado,2017
Personal Data Breach,123,Colorado,2017
Phishing/Vishing/Smishing/Pharming,85,Colorado,2017
Ransomware,1,Colorado,2017
Re-shipping,11,Colorado,2017
Real Estate/Rental,149,Colorado,2017
Spoofing,0,Colorado,2017
Tech Support,25,Colorado,2017
Terrorism,0,Colorado,2017
Social Media,109,Colorado,2017
Virtual Currency,11,Colorado,2017
Advanced Fee,36,Connecticut,2017
BEC/EAC,28,Connecticut,2017
Charity,3,Connecticut,2017
Civil Matter,4,Connecticut,2017
Confidence Fraud/Romance,57,Connecticut,2017
Corporate Data Breach,9,Connecticut,2017
Credit Card Fraud,35,Connecticut,2017
Crimes Against Children,5,Connecticut,2017
Criminal Forums,0,Connecticut,2017
Denial of Service/TDos,4,Connecticut,2017
Employment,41,Connecticut,2017
Extortion,18,Connecticut,2017
Gambling,0,Connecticut,2017
Government Impersonation,6,Connecticut,2017
Hacktivist,0,Connecticut,2017
Harassment/Threats of Violence,58,Connecticut,2017
Health Care Related,0,Connecticut,2017
IPR/Copyright and Counterfeit,5,Connecticut,2017
Identity Theft,34,Connecticut,2017
Investment,7,Connecticut,2017
Lottery/Sweepstakes/Inheritance,11,Connecticut,2017
Malware/Scareware/Virus,9,Connecticut,2017
Misrepresentation,12,Connecticut,2017
No Lead Value,42,Connecticut,2017
Non-payment/Non-Delivery,215,Connecticut,2017
Other,19,Connecticut,2017
Overpayment,49,Connecticut,2017
Personal Data Breach,73,Connecticut,2017
Phishing/Vishing/Smishing/Pharming,22,Connecticut,2017
Ransomware,3,Connecticut,2017
Re-shipping,6,Connecticut,2017
Real Estate/Rental,30,Connecticut,2017
Spoofing,0,Connecticut,2017
Tech Support,22,Connecticut,2017
Terrorism,1,Connecticut,2017
Social Media,42,Connecticut,2017
Virtual Currency,7,Connecticut,2017
Advanced Fee,38,Delaware,2017
BEC/EAC,13,Delaware,2017
Charity,3,Delaware,2017
Civil Matter,6,Delaware,2017
Confidence Fraud/Romance,15,Delaware,2017
Corporate Data Breach,3,Delaware,2017
Credit Card Fraud,100,Delaware,2017
Crimes Against Children,0,Delaware,2017
Criminal Forums,0,Delaware,2017
Denial of Service/TDos,1,Delaware,2017
Employment,76,Delaware,2017
Extortion,16,Delaware,2017
Gambling,0,Delaware,2017
Government Impersonation,7,Delaware,2017
Hacktivist,0,Delaware,2017
Harassment/Threats of Violence,25,Delaware,2017
Health Care Related,3,Delaware,2017
IPR/Copyright and Counterfeit,5,Delaware,2017
Identity Theft,51,Delaware,2017
Investment,32,Delaware,2017
Lottery/Sweepstakes/Inheritance,1,Delaware,2017
Malware/Scareware/Virus,14,Delaware,2017
Misrepresentation,29,Delaware,2017
No Lead Value,0,Delaware,2017
Non-payment/Non-Delivery,378,Delaware,2017
Other,15,Delaware,2017
Overpayment,28,Delaware,2017
Personal Data Breach,108,Delaware,2017
Phishing/Vishing/Smishing/Pharming,39,Delaware,2017
Ransomware,3,Delaware,2017
Re-shipping,35,Delaware,2017
Real Estate/Rental,16,Delaware,2017
Spoofing,0,Delaware,2017
Tech Support,49,Delaware,2017
Terrorism,1,Delaware,2017
Social Media,13,Delaware,2017
Virtual Currency,21,Delaware,2017
Advanced Fee,195,District of Columbia,2017
BEC/EAC,11,District of Columbia,2017
Charity,1,District of Columbia,2017
Civil Matter,7,District of Columbia,2017
Confidence Fraud/Romance,27,District of Columbia,2017
Corporate Data Breach,2,District of Columbia,2017
Credit Card Fraud,9,District of Columbia,2017
Crimes Against Children,1,District of Columbia,2017
Criminal Forums,0,District of Columbia,2017
Denial of Service/TDos,1,District of Columbia,2017
Employment,29,District of Columbia,2017
Extortion,70,District of Columbia,2017
Gambling,0,District of Columbia,2017
Government Impersonation,242,District of Columbia,2017
Hacktivist,0,District of Columbia,2017
Harassment/Threats of Violence,36,District of Columbia,2017
Health Care Related,1,District of Columbia,2017
IPR/Copyright and Counterfeit,6,District of Columbia,2017
Identity Theft,17,District of Columbia,2017
Investment,5,District of Columbia,2017
Lottery/Sweepstakes/Inheritance,34,District of Columbia,2017
Malware/Scareware/Virus,4,District of Columbia,2017
Misrepresentation,10,District of Columbia,2017
No Lead Value,119,District of Columbia,2017
Non-payment/Non-Delivery,134,District of Columbia,2017
Other,21,District of Columbia,2017
Overpayment,112,District of Columbia,2017
Personal Data Breach,41,District of Columbia,2017
Phishing/Vishing/Smishing/Pharming,115,District of Columbia,2017
Ransomware,1,District of Columbia,2017
Re-shipping,0,District of Columbia,2017
Real Estate/Rental,47,District of Columbia,2017
Spoofing,0,District of Columbia,2017
Tech Support,8,District of Columbia,2017
Terrorism,0,District of Columbia,2017
Social Media,49,District of Columbia,2017
Virtual Currency,9,District of Columbia,2017
Advanced Fee,478,Florida,2017
BEC/EAC,321,Florida,2017
Charity,13,Florida,2017
Civil Matter,71,Florida,2017
Confidence Fraud/Romance,464,Florida,2017
Corporate Data Breach,74,Florida,2017
Credit Card Fraud,732,Florida,2017
Crimes Against Children,15,Florida,2017
Criminal Forums,0,Florida,2017
Denial of Service/TDos,25,Florida,2017
Employment,481,Florida,2017
Extortion,213,Florida,2017
Gambling,1,Florida,2017
Government Impersonation,97,Florida,2017
Hacktivist,2,Florida,2017
Harassment/Threats of Violence,537,Florida,2017
Health Care Related,11,Florida,2017
IPR/Copyright and Counterfeit,86,Florida,2017
Identity Theft,536,Florida,2017
Investment,101,Florida,2017
Lottery/Sweepstakes/Inheritance,67,Florida,2017
Malware/Scareware/Virus,58,Florida,2017
Misrepresentation,268,Florida,2017
No Lead Value,185,Florida,2017
Non-payment/Non-Delivery,"3,666",Florida,2017
Other,212,Florida,2017
Overpayment,569,Florida,2017
Personal Data Breach,799,Florida,2017
Phishing/Vishing/Smishing/Pharming,330,Florida,2017
Ransomware,9,Florida,2017
Re-shipping,58,Florida,2017
Real Estate/Rental,364,Florida,2017
Spoofing,0,Florida,2017
Tech Support,236,Florida,2017
Terrorism,2,Florida,2017
Social Media,503,Florida,2017
Virtual Currency,59,Florida,2017
Advanced Fee,243,Georgia,2017
BEC/EAC,147,Georgia,2017
Charity,9,Georgia,2017
Civil Matter,18,Georgia,2017
Confidence Fraud/Romance,195,Georgia,2017
Corporate Data Breach,34,Georgia,2017
Credit Card Fraud,171,Georgia,2017
Crimes Against Children,4,Georgia,2017
Criminal Forums,0,Georgia,2017
Denial of Service/TDos,4,Georgia,2017
Employment,318,Georgia,2017
Extortion,85,Georgia,2017
Gambling,3,Georgia,2017
Government Impersonation,41,Georgia,2017
Hacktivist,0,Georgia,2017
Harassment/Threats of Violence,192,Georgia,2017
Health Care Related,6,Georgia,2017
IPR/Copyright and Counterfeit,19,Georgia,2017
Identity Theft,161,Georgia,2017
Investment,35,Georgia,2017
Lottery/Sweepstakes/Inheritance,26,Georgia,2017
Malware/Scareware/Virus,8,Georgia,2017
Misrepresentation,60,Georgia,2017
No Lead Value,113,Georgia,2017
Non-payment/Non-Delivery,"1,190",Georgia,2017
Other,81,Georgia,2017
Overpayment,403,Georgia,2017
Personal Data Breach,287,Georgia,2017
Phishing/Vishing/Smishing/Pharming,115,Georgia,2017
Ransomware,2,Georgia,2017
Re-shipping,30,Georgia,2017
Real Estate/Rental,151,Georgia,2017
Spoofing,0,Georgia,2017
Tech Support,51,Georgia,2017
Terrorism,2,Georgia,2017
Social Media,239,Georgia,2017
Virtual Currency,12,Georgia,2017
Advanced Fee,2,Guam,2017
BEC/EAC,0,Guam,2017
Charity,0,Guam,2017
Civil Matter,0,Guam,2017
Confidence Fraud/Romance,0,Guam,2017
Corporate Data Breach,0,Guam,2017
Credit Card Fraud,0,Guam,2017
Crimes Against Children,0,Guam,2017
Criminal Forums,0,Guam,2017
Denial of Service/TDos,0,Guam,2017
Employment,1,Guam,2017
Extortion,0,Guam,2017
Gambling,0,Guam,2017
Government Impersonation,0,Guam,2017
Hacktivist,0,Guam,2017
Harassment/Threats of Violence,0,Guam,2017
Health Care Related,0,Guam,2017
IPR/Copyright and Counterfeit,0,Guam,2017
Identity Theft,0,Guam,2017
Investment,0,Guam,2017
Lottery/Sweepstakes/Inheritance,0,Guam,2017
Malware/Scareware/Virus,0,Guam,2017
Misrepresentation,0,Guam,2017
No Lead Value,1,Guam,2017
Non-payment/Non-Delivery,4,Guam,2017
Other,1,Guam,2017
Overpayment,0,Guam,2017
Personal Data Breach,0,Guam,2017
Phishing/Vishing/Smishing/Pharming,0,Guam,2017
Ransomware,0,Guam,2017
Re-shipping,0,Guam,2017
Real Estate/Rental,1,Guam,2017
Spoofing,0,Guam,2017
Tech Support,0,Guam,2017
Terrorism,0,Guam,2017
Social Media,1,Guam,2017
Virtual Currency,0,Guam,2017
Advanced Fee,18,Hawaii,2017
BEC/EAC,8,Hawaii,2017
Charity,0,Hawaii,2017
Civil Matter,4,Hawaii,2017
Confidence Fraud/Romance,10,Hawaii,2017
Corporate Data Breach,2,Hawaii,2017
Credit Card Fraud,10,Hawaii,2017
Crimes Against Children,3,Hawaii,2017
Criminal Forums,0,Hawaii,2017
Denial of Service/TDos,1,Hawaii,2017
Employment,14,Hawaii,2017
Extortion,5,Hawaii,2017
Gambling,0,Hawaii,2017
Government Impersonation,0,Hawaii,2017
Hacktivist,0,Hawaii,2017
Harassment/Threats of Violence,22,Hawaii,2017
Health Care Related,0,Hawaii,2017
IPR/Copyright and Counterfeit,5,Hawaii,2017
Identity Theft,9,Hawaii,2017
Investment,2,Hawaii,2017
Lottery/Sweepstakes/Inheritance,2,Hawaii,2017
Malware/Scareware/Virus,3,Hawaii,2017
Misrepresentation,7,Hawaii,2017
No Lead Value,12,Hawaii,2017
Non-payment/Non-Delivery,70,Hawaii,2017
Other,3,Hawaii,2017
Overpayment,17,Hawaii,2017
Personal Data Breach,31,Hawaii,2017
Phishing/Vishing/Smishing/Pharming,4,Hawaii,2017
Ransomware,1,Hawaii,2017
Re-shipping,0,Hawaii,2017
Real Estate/Rental,31,Hawaii,2017
Spoofing,0,Hawaii,2017
Tech Support,2,Hawaii,2017
Terrorism,0,Hawaii,2017
Social Media,18,Hawaii,2017
Virtual Currency,1,Hawaii,2017
Advanced Fee,19,Idaho,2017
BEC/EAC,12,Idaho,2017
Charity,1,Idaho,2017
Civil Matter,4,Idaho,2017
Confidence Fraud/Romance,15,Idaho,2017
Corporate Data Breach,3,Idaho,2017
Credit Card Fraud,17,Idaho,2017
Crimes Against Children,0,Idaho,2017
Criminal Forums,0,Idaho,2017
Denial of Service/TDos,0,Idaho,2017
Employment,13,Idaho,2017
Extortion,2,Idaho,2017
Gambling,0,Idaho,2017
Government Impersonation,3,Idaho,2017
Hacktivist,0,Idaho,2017
Harassment/Threats of Violence,20,Idaho,2017
Health Care Related,0,Idaho,2017
IPR/Copyright and Counterfeit,1,Idaho,2017
Identity Theft,11,Idaho,2017
Investment,1,Idaho,2017
Lottery/Sweepstakes/Inheritance,2,Idaho,2017
Malware/Scareware/Virus,0,Idaho,2017
Misrepresentation,6,Idaho,2017
No Lead Value,11,Idaho,2017
Non-payment/Non-Delivery,118,Idaho,2017
Other,8,Idaho,2017
Overpayment,20,Idaho,2017
Personal Data Breach,36,Idaho,2017
Phishing/Vishing/Smishing/Pharming,6,Idaho,2017
Ransomware,0,Idaho,2017
Re-shipping,3,Idaho,2017
Real Estate/Rental,10,Idaho,2017
Spoofing,0,Idaho,2017
Tech Support,1,Idaho,2017
Terrorism,1,Idaho,2017
Social Media,18,Idaho,2017
Virtual Currency,7,Idaho,2017
Advanced Fee,238,Illinois,2017
BEC/EAC,90,Illinois,2017
Charity,8,Illinois,2017
Civil Matter,22,Illinois,2017
Confidence Fraud/Romance,173,Illinois,2017
Corporate Data Breach,20,Illinois,2017
Credit Card Fraud,169,Illinois,2017
Crimes Against Children,7,Illinois,2017
Criminal Forums,0,Illinois,2017
Denial of Service/TDos,8,Illinois,2017
Employment,218,Illinois,2017
Extortion,80,Illinois,2017
Gambling,3,Illinois,2017
Government Impersonation,29,Illinois,2017
Hacktivist,0,Illinois,2017
Harassment/Threats of Violence,303,Illinois,2017
Health Care Related,4,Illinois,2017
IPR/Copyright and Counterfeit,35,Illinois,2017
Identity Theft,172,Illinois,2017
Investment,45,Illinois,2017
Lottery/Sweepstakes/Inheritance,29,Illinois,2017
Malware/Scareware/Virus,17,Illinois,2017
Misrepresentation,69,Illinois,2017
No Lead Value,367,Illinois,2017
Non-payment/Non-Delivery,"1,143",Illinois,2017
Other,195,Illinois,2017
Overpayment,283,Illinois,2017
Personal Data Breach,310,Illinois,2017
Phishing/Vishing/Smishing/Pharming,202,Illinois,2017
Ransomware,2,Illinois,2017
Re-shipping,26,Illinois,2017
Real Estate/Rental,170,Illinois,2017
Spoofing,0,Illinois,2017
Tech Support,33,Illinois,2017
Terrorism,3,Illinois,2017
Social Media,253,Illinois,2017
Virtual Currency,25,Illinois,2017
Advanced Fee,75,Indiana,2017
BEC/EAC,37,Indiana,2017
Charity,1,Indiana,2017
Civil Matter,5,Indiana,2017
Confidence Fraud/Romance,82,Indiana,2017
Corporate Data Breach,8,Indiana,2017
Credit Card Fraud,71,Indiana,2017
Crimes Against Children,5,Indiana,2017
Criminal Forums,0,Indiana,2017
Denial of Service/TDos,0,Indiana,2017
Employment,68,Indiana,2017
Extortion,33,Indiana,2017
Gambling,0,Indiana,2017
Government Impersonation,11,Indiana,2017
Hacktivist,0,Indiana,2017
Harassment/Threats of Violence,94,Indiana,2017
Health Care Related,3,Indiana,2017
IPR/Copyright and Counterfeit,13,Indiana,2017
Identity Theft,55,Indiana,2017
Investment,5,Indiana,2017
Lottery/Sweepstakes/Inheritance,16,Indiana,2017
Malware/Scareware/Virus,7,Indiana,2017
Misrepresentation,21,Indiana,2017
No Lead Value,25,Indiana,2017
Non-payment/Non-Delivery,411,Indiana,2017
Other,37,Indiana,2017
Overpayment,156,Indiana,2017
Personal Data Breach,113,Indiana,2017
Phishing/Vishing/Smishing/Pharming,40,Indiana,2017
Ransomware,0,Indiana,2017
Re-shipping,2,Indiana,2017
Real Estate/Rental,61,Indiana,2017
Spoofing,0,Indiana,2017
Tech Support,24,Indiana,2017
Terrorism,0,Indiana,2017
Social Media,106,Indiana,2017
Virtual Currency,0,Indiana,2017
Advanced Fee,44,Iowa,2017
BEC/EAC,16,Iowa,2017
Charity,1,Iowa,2017
Civil Matter,6,Iowa,2017
Confidence Fraud/Romance,37,Iowa,2017
Corporate Data Breach,3,Iowa,2017
Credit Card Fraud,23,Iowa,2017
Crimes Against Children,0,Iowa,2017
Criminal Forums,0,Iowa,2017
Denial of Service/TDos,2,Iowa,2017
Employment,34,Iowa,2017
Extortion,22,Iowa,2017
Gambling,0,Iowa,2017
Government Impersonation,6,Iowa,2017
Hacktivist,0,Iowa,2017
Harassment/Threats of Violence,34,Iowa,2017
Health Care Related,0,Iowa,2017
IPR/Copyright and Counterfeit,4,Iowa,2017
Identity Theft,19,Iowa,2017
Investment,7,Iowa,2017
Lottery/Sweepstakes/Inheritance,2,Iowa,2017
Malware/Scareware/Virus,3,Iowa,2017
Misrepresentation,9,Iowa,2017
No Lead Value,7,Iowa,2017
Non-payment/Non-Delivery,327,Iowa,2017
Other,15,Iowa,2017
Overpayment,44,Iowa,2017
Personal Data Breach,62,Iowa,2017
Phishing/Vishing/Smishing/Pharming,18,Iowa,2017
Ransomware,0,Iowa,2017
Re-shipping,0,Iowa,2017
Real Estate/Rental,13,Iowa,2017
Spoofing,0,Iowa,2017
Tech Support,19,Iowa,2017
Terrorism,0,Iowa,2017
Social Media,53,Iowa,2017
Virtual Currency,5,Iowa,2017
Advanced Fee,63,Kansas,2017
BEC/EAC,22,Kansas,2017
Charity,0,Kansas,2017
Civil Matter,2,Kansas,2017
Confidence Fraud/Romance,28,Kansas,2017
Corporate Data Breach,4,Kansas,2017
Credit Card Fraud,28,Kansas,2017
Crimes Against Children,2,Kansas,2017
Criminal Forums,0,Kansas,2017
Denial of Service/TDos,1,Kansas,2017
Employment,16,Kansas,2017
Extortion,33,Kansas,2017
Gambling,0,Kansas,2017
Government Impersonation,5,Kansas,2017
Hacktivist,0,Kansas,2017
Harassment/Threats of Violence,42,Kansas,2017
Health Care Related,0,Kansas,2017
IPR/Copyright and Counterfeit,3,Kansas,2017
Identity Theft,28,Kansas,2017
Investment,1,Kansas,2017
Lottery/Sweepstakes/Inheritance,6,Kansas,2017
Malware/Scareware/Virus,1,Kansas,2017
Misrepresentation,11,Kansas,2017
No Lead Value,18,Kansas,2017
Non-payment/Non-Delivery,615,Kansas,2017
Other,15,Kansas,2017
Overpayment,44,Kansas,2017
Personal Data Breach,61,Kansas,2017
Phishing/Vishing/Smishing/Pharming,33,Kansas,2017
Ransomware,0,Kansas,2017
Re-shipping,1,Kansas,2017
Real Estate/Rental,20,Kansas,2017
Spoofing,0,Kansas,2017
Tech Support,4,Kansas,2017
Terrorism,0,Kansas,2017
Social Media,83,Kansas,2017
Virtual Currency,1,Kansas,2017
Advanced Fee,37,Kentucky,2017
BEC/EAC,15,Kentucky,2017
Charity,1,Kentucky,2017
Civil Matter,5,Kentucky,2017
Confidence Fraud/Romance,54,Kentucky,2017
Corporate Data Breach,4,Kentucky,2017
Credit Card Fraud,35,Kentucky,2017
Crimes Against Children,4,Kentucky,2017
Criminal Forums,0,Kentucky,2017
Denial of Service/TDos,1,Kentucky,2017
Employment,33,Kentucky,2017
Extortion,18,Kentucky,2017
Gambling,1,Kentucky,2017
Government Impersonation,4,Kentucky,2017
Hacktivist,0,Kentucky,2017
Harassment/Threats of Violence,72,Kentucky,2017
Health Care Related,1,Kentucky,2017
IPR/Copyright and Counterfeit,7,Kentucky,2017
Identity Theft,36,Kentucky,2017
Investment,1,Kentucky,2017
Lottery/Sweepstakes/Inheritance,3,Kentucky,2017
Malware/Scareware/Virus,5,Kentucky,2017
Misrepresentation,13,Kentucky,2017
No Lead Value,53,Kentucky,2017
Non-payment/Non-Delivery,282,Kentucky,2017
Other,19,Kentucky,2017
Overpayment,55,Kentucky,2017
Personal Data Breach,78,Kentucky,2017
Phishing/Vishing/Smishing/Pharming,17,Kentucky,2017
Ransomware,0,Kentucky,2017
Re-shipping,2,Kentucky,2017
Real Estate/Rental,25,Kentucky,2017
Spoofing,0,Kentucky,2017
Tech Support,6,Kentucky,2017
Terrorism,1,Kentucky,2017
Social Media,61,Kentucky,2017
Virtual Currency,4,Kentucky,2017
Advanced Fee,71,Louisiana,2017
BEC/EAC,23,Louisiana,2017
Charity,7,Louisiana,2017
Civil Matter,29,Louisiana,2017
Confidence Fraud/Romance,54,Louisiana,2017
Corporate Data Breach,8,Louisiana,2017
